Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopZScore
6768,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.1,6.7
6869,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.1,6.8
6970,-0.78,-5594.23,-508.56636,0.43333,-0.71671,-0.77521,0,46.81,11,0.1,6.9
7071,-0.48,-5460.93,-606.77,0.41987,-0.69963,-0.48094,0,46.81,9,0.1,7
7172,-0.48,-5460.93,-606.77,0.41987,-0.69963,-0.48094,0,46.81,9,0.1,7.1
7273,-0.48,-5460.93,-606.77,0.41987,-0.69963,-0.48094,0,46.81,9,0.1,7.2
7374,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,7.3
7475,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,7.4
7576,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,7.5
7677,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,7.6
7778,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,7.7
7879,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,7.8
7980,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,7.9
8081,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,8
8182,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,8.1
8283,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,8.2
8384,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,8.3
8485,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,8.4
8586,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,8.5
8687,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,8.6
8788,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,8.7
8889,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,8.8
8990,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,8.9
9091,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,9
9192,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,9.1
9293,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,9.2
9394,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,9.3
9495,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,9.4
9596,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,9.5
9697,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,9.6
9798,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,9.7
9899,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,9.8
10000,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,9.9
10101,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0.1,10
2,-0.74,-1614.27,-28.82625,0.72987,-0.3081,-0.74459,0,34.93,56,0.2,0
103,-0.74,-1614.27,-28.82625,0.72987,-0.3081,-0.74459,0,34.93,56,0.2,0.1
204,-0.74,-1614.27,-28.82625,0.72987,-0.3081,-0.74459,0,34.93,56,0.2,0.2
305,-2.87,-3690.33,-102.50917,0.33079,-0.77567,-2.86997,0,31.72,36,0.2,0.3
406,-1.02,-2607.46,-130.373,0.5854,-0.51854,-1.02274,0,33.52,20,0.2,0.4
507,-1.1,-2489.64,-138.31333,0.58809,-0.50451,-1.09864,0,32.9,18,0.2,0.5
608,-1.34,-2607.19,-57.93756,0.6958,-0.51843,-1.33883,0,33.53,45,0.2,0.6
709,-0.82,-1869.67,-84.985,0.72634,-0.42716,-0.81717,0,29.18,22,0.2,0.7
810,-0.87,-2569.88,-142.77111,0.58696,-0.51214,-0.86933,0,33.45,18,0.2,0.8
911,-0.75,-2210.73,-122.81833,0.61435,-0.47204,-0.75339,0,31.22,18,0.2,0.9
1012,-0.51,-2153.16,-143.544,0.618,-0.46448,-0.51088,0,30.9,15,0.2,1
1113,-0.5,-2084.48,-138.96533,0.62581,-0.45632,-0.49578,0,30.45,15,0.2,1.1
1214,-0.34,-1999.41,-153.80077,0.63758,-0.44523,-0.34161,0,29.94,13,0.2,1.2
1315,-0.34,-1999.41,-153.80077,0.63758,-0.44523,-0.34161,0,29.94,13,0.2,1.3
1416,-0.44,-1848.14,-123.20933,0.65856,-0.4249,-0.44003,0,29,15,0.2,1.4
1517,-0.4,-1948.14,-139.15286,0.66468,-0.46795,-0.3993,0,27.75,14,0.2,1.5
1618,-0.22,-1520.02,-126.66833,0.70676,-0.37515,-0.21585,0,27.01,12,0.2,1.6
1719,-0.78,-1856.85,-88.42143,0.72479,-0.42571,-0.78085,0,29.08,21,0.2,1.7
1820,-0.22,-1531.81,-127.65083,0.70516,-0.37696,-0.21741,0,27.09,12,0.2,1.8
1921,-0.21,-1499.81,-124.98417,0.70953,-0.37202,-0.21314,0,26.88,12,0.2,1.9
2022,-0.22,-1517.1,-126.425,0.70716,-0.3747,-0.2154,0,26.99,12,0.2,2
2123,-0.2,-1776.97,-161.54273,0.66716,-0.41524,-0.20482,0,28.53,11,0.2,2.1
2224,-0.24,-1708.79,-142.39917,0.67883,-0.40442,-0.2418,0,28.17,12,0.2,2.2
2325,-2.98,-3899.18,-67.22724,0.70459,-0.72453,-2.97521,0,34.85,58,0.2,2.3
2426,-2.48,-3378.05,-45.04067,0.76176,-0.65196,-2.47525,0,33,75,0.2,2.4
2527,-1.97,-3896.29,-108.23028,0.73352,-0.65141,-1.96535,0,39.88,36,0.2,2.5
2628,-2.08,-4522.04,-92.28653,0.76978,-0.29176,-2.08014,0,65.03,49,0.2,2.6
2729,-1.6,-2751.14,-31.99,0.92016,-0.19489,-1.60017,0,56.89,86,0.2,2.7
2830,-0.71,-1550.96,-46.99879,0.92177,-0.29247,-0.71214,0,34.63,33,0.2,2.8
2931,-0.56,-1327.15,-33.17875,0.93858,-0.11519,-0.56068,0,50.76,40,0.2,2.9
3032,-5,-11324.98,-276.21902,0.54226,-0.59693,-5,0,83.77,41,0.2,3
3133,-1.6,-3255.81,-60.29278,0.86928,-0.26145,-1.60052,0,54.99,54,0.2,3.1
3234,-1.38,-3861.84,-257.456,0.58189,-0.76664,-1.37517,0,33.34,15,0.2,3.2
3335,-4.51,-11910.69,-916.20692,0.11539,-1,-4.50579,0,79.4,13,0.2,3.3
3436,-4.51,-11910.69,-916.20692,0.11539,-1,-4.50579,0,79.4,13,0.2,3.4
3537,-4.49,-11889.25,-914.55769,0.11551,-1,-4.48549,0,79.26,13,0.2,3.5
3638,-4.44,-11847.16,-911.32,0.11681,-1,-4.44078,0,78.98,13,0.2,3.6
3739,-4.44,-11847.16,-911.32,0.11681,-1,-4.44078,0,78.98,13,0.2,3.7
3840,-4.44,-11847.16,-911.32,0.11681,-1,-4.44078,0,78.98,13,0.2,3.8
3941,-4.44,-11847.16,-911.32,0.11681,-1,-4.44078,0,78.98,13,0.2,3.9
4042,-1.52,-11428.02,-1038.91091,0.13159,-0.96549,-1.51783,0,76.82,11,0.2,4
4143,-2.39,-4203.7,-168.148,0.64154,-0.70902,-2.38503,0,39.53,25,0.2,4.1
4244,-2.39,-4203.7,-168.148,0.64154,-0.70902,-2.38503,0,39.53,25,0.2,4.2
4345,-2.39,-4203.7,-168.148,0.64154,-0.70902,-2.38503,0,39.53,25,0.2,4.3
4446,-2.67,-4424.63,-142.73,0.63617,-0.74001,-2.67348,0,39.86,31,0.2,4.4
4547,-0.66,-2957.11,-211.22214,0.69726,-0.49301,-0.65768,0,39.99,14,0.2,4.5
4648,-1.47,-3016.47,-150.8235,0.58111,-0.45453,-1.46633,0,44.24,20,0.2,4.6
4749,-1.47,-3016.47,-150.8235,0.58111,-0.45453,-1.46633,0,44.24,20,0.2,4.7
4850,-1.47,-3016.47,-150.8235,0.58111,-0.45453,-1.46633,0,44.24,20,0.2,4.8
